#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AK|BAT|61.1416|-148.1751|1027.0|Barry Arm Top, AK, USA||
AK|BCP|59.9534|-139.6369|421.8|Bancas Point, AK, USA||
AK|BE01|60.8043|-161.7708|8.0|Bethel on ground under building||
AK|BERG|60.3932|-143.7004|624.0|Berg Lake, AK, USA||
AK|BESE|58.5792|-134.8559|867.0|Bessie Mountain, AK, USA||
AK|BGLC|60.1205|-143.2841|10.0|Bering Glacier BLM Camp, AK, USA||
AK|BMR|60.9677|-144.6051|842.0|Bremner River, AK, USA||
AK|BPAW|64.0997|-150.9873|619.0|Bear Paw Mountain, AK, USA||
AK|BRLK|59.7511|-150.9063|409.0|Bradley Lake, AK, USA||
AK|BRSE|59.7417|-150.7414|541.0|Bradley Lake South, AK, USA||
AK|C16K|68.2746|-165.3436|102.0|Lisburne Hills, AK, USA||
AK|C18K|68.6483|-161.1943|845.0|Utukok River, AK, USA||
AK|C19K|69.1049|-159.5874|745.0|Lookout Ridge, AK, USA||
AK|C21K|69.1565|-154.7833|409.0|Knifeblade Ridge, AK, USA||
AK|C23K|69.836|-150.6126|179.0|Itkillik River, AK, USA||
AK|C26K|69.9175|-144.9122|139.0|Camden Bay, AK, USA||
AK|C27K|69.626|-143.7114|392.0|Jago River, AK, USA||
AK|CAPN|60.7683|-151.1539|47.0|Captain Cook Nikiski, AK, USA||
AK|CAST|63.4188|-152.0844|611.0|Castle Rocks, AK, USA||
AK|CCB|64.6453|-147.8053|233.0|Clear Creek Butte, AK, USA||
AK|CDVT|60.4936|-145.4696|152.0|Cordova Airport, AK, USA||
AK|CHI|55.8218|-155.6225|203.0|Chirikof Island, AK, USA||
AK|CHN|54.831|-159.5895|71.0|Chernabura Island, AK, USA||
AK|CHX|60.0631|-141.1178|1085.0|Chaix Hills, AK, USA||
AK|CNP|59.5251|-151.2373|564.0|China Poot, AK, USA||
AK|COLD|67.2278|-150.207|374.0|Coldfoot Broadband, AK, USA||
AK|CRQ|60.7523|-143.0926|1392.3|Cirque, AK, USA||
AK|CUT|62.4058|-150.2625|574.0|Chulitna, AK, USA||
AK|CYK|60.0823|-142.4872|23.0|Cape Yakataga, AK, USA||
AK|D17K|67.6988|-163.0831|172.0|Noatak River, AK, USA||
AK|D20K|68.7132|-156.6132|577.0|Etivluk River, AK, USA||
AK|D22K|68.8799|-152.6821|532.0|Ayikyak River, AK, USA||
AK|D24K|69.1532|-148.8233|292.0|Happy Valley, AK, USA||
AK|D25K|69.322|-146.3751|770.0|Kavik River, AK, USA||
AK|DAM1|59.7554|-150.8513|354.0|Bradley Dam 1, AK, USA||
AK|DAM2|59.7553|-150.8555|363.0|Bradley Dam 2, AK, USA||
AK|DCPH|59.0905|-138.2139|669.0|Deception Hills, AK, USA||
AK|DHY|63.0753|-147.3759|1611.0|Denali Highway, AK, USA||
AK|DIV|61.1292|-145.7749|941.4|Divide Microwave, AK, USA||
AK|DOT|63.6487|-144.0674|673.0|Dot Lake, AK, USA||
AK|E18K|67.4213|-160.6027|297.0|Tukpahlearik Creek, AK, USA||
AK|E19K|67.4572|-157.2316|441.0|Redstone River, AK, USA||
AK|E21K|68.4414|-153.9721|653.0|Killik River, AK, USA||
AK|E22K|68.1343|-151.8132|772.0|Anaktuvuk Pass, AK, USA||
AK|E24K|68.0748|-148.4868|847.0|Your Creek, AK, USA||
AK|E25K|68.1207|-145.568|652.0|Arctic Village, AK, USA||
AK|E27K|68.1861|-141.5951|654.0|Coleen River, AK, USA||
AK|ER01|61.3237|-149.5412|198.0|Skyline Family Fellowship, Eagle River, AK, USA||
AK|ER02|61.3166|-149.5721|104.0|Eagle River Fire Station 11, Eagle River, AK, USA||
AK|ER03|61.3145|-149.5466|151.0|Homestead School, Eagle River (established by UAA)||
AK|ER04|61.3453|-149.5476|119.0|Fire Lake School, Eagle River (established by UAA)||
AK|EYAK|60.5487|-145.75|133.9|Cordova Ski Area, AK, USA||
AK|F15K|65.7077|-164.6483|388.0|North Star Ditch, AK, USA||
AK|F18K|66.6001|-159.6514|27.0|Selawik, AK, USA||
AK|F20K|67.0486|-155.7251|136.0|Avaraart Lake, AK, USA||
AK|F21K|67.2221|-153.483|597.0|Alatna River, AK, USA||
AK|FA01|64.8348|-147.9371|263.0|Chena-GS Fire Station, Fairbanks, AK, USA||
AK|FA02|64.8456|-148.009|194.0|Ester Fire Station, AK, USA||
AK|FA05|64.8393|-147.7516|135.0|Denali Elem. School, Fairbanks, AK, USA||
AK|FA06|64.8461|-147.6957|136.0|Nordale Education Center, Fairbanks, AK, USA||
AK|FA07|64.8267|-147.6946|135.0|Arctic Light Elem. School, Fairbanks, AK, USA||
AK|FA09|64.8377|-147.8172|135.0|DNR, Fairbanks, AK, USA||
AK|FA10|64.8186|-147.7784|133.0|Bus Barn, Fairbanks, AK, USA||
AK|FA11|64.8536|-147.8382|137.0|Cold Climate Housing Res. Cntr, Fairbanks, AK, USA||
AK|FA12|64.8269|-147.8684|436.0|Watershed School, Fairbanks, AK, USA||
AK|FALS|54.8564|-163.4176|60.6|False Pass, AK, USA||
AK|FID|60.7277|-146.5987|500.0|Fidalgo, AK, USA||
AK|FIRE|61.1426|-150.2164|62.0|Fire Island, AK, USA||
AK|FKM2|65.0019|-147.2992|477.0|Fort Knox Mine 2||
AK|FYU|66.5657|-145.2342|137.0|Fort Yukon, AK, USA||
AK|G17K|65.5011|-160.6514|338.0|Kiwalik Mountain, AK, USA||
AK|G19K|66.1434|-157.087|391.0|Purcell Mountains, AK, USA||
AK|G23K|66.7108|-150.0239|746.0|Bananza Creek, AK, USA||
AK|G24K|66.7004|-147.4754|503.0|Hadweenzic River, AK, USA||
AK|G27K|66.8088|-141.6549|686.0|Doyon Strip, AK, USA||
AK|GAMB|63.7758|-171.7036|5.0|Gambell, AK, USA||
AK|GCSA|64.7461|-156.8792|45.0|Galena City School, AK, USA||
AK|GHO|61.771|-148.926|1032.0|Gloryhole, AK, USA||
AK|GLB|61.4417|-143.8123|854.9|Gilahina Butte, AK, USA||
AK|GLI|60.8792|-147.0959|430.0|Glacier Island, AK, USA||
AK|GOAT|60.5805|-144.7292|895.5|Goat Mountain, AK, USA||
AK|GREN|63.9738|-145.6949|414.0|Ft. Greely North||
AK|GRES|63.9451|-145.7281|414.0|Ft. Greely South||
AK|GRIN|60.2805|-143.321|625.0|Grindle Hills, AK, USA||
AK|GRNC|60.7315|-141.7558|2116.0|Granite Creek, AK, USA||
AK|H16K|64.6379|-162.239|216.0|Elim, AK, USA||
AK|H17K|64.937|-159.9126|396.0|Granite Mountain, AK, USA||
AK|H20K|65.4924|-154.8808|514.0|Anotleneega Mountain, AK, USA||
AK|H21K|65.6571|-152.805|520.0|Melozitna River, AK, USA||
AK|H22K|65.8937|-151.3773|561.0|Ishtalitna Creek, AK, USA||
AK|H23K|65.8251|-149.5432|617.0|Yukon River, AK, USA||
AK|H24K|65.8371|-147.8781|814.0|Noodor Dome, AK, USA||
AK|HARP|62.3987|-145.1568|581.0|HAARP, Gakona, AK, USA||
AK|HDA|64.4091|-146.9482|437.0|Harding Lake, AK, USA||
AK|HIN|60.396|-146.5035|622.9|Hinchinbrook, AK, USA||
AK|HOM|59.6572|-151.6515|221.0|Homer Trailer, AK, USA||
AK|I21K|65.18|-151.9822|248.0|Tanana, AK, USA||
AK|I23K|65.1479|-149.3603|149.0|Minto, Yukon-Koyukuk, AK, USA||
AK|I26K|65.3064|-143.1541|338.0|Coal Creek Mining Camp, AK, USA||
AK|I27K|65.6035|-141.6153|874.0|Kandik River, AK, USA||
AK|ISLE|60.6024|-142.3406|1425.0|Juniper Island, AK, USA||
AK|J17K|63.3965|-159.0777|323.0|VABM Dome, AK, USA||
AK|J19K|63.994|-155.6214|389.0|Poorman, AK, USA||
